,title,Date,url
96,Θεσσαλονίκη: Άνδρας βρέθηκε νεκρός σε αγροικία,2019-07-02,https://www.protothema.gr/greece/article/904834/thessaloniki-andras-vrethike-nekros-se-agroikia/?utm_source=rss
97,"Συριακός μουσακάς με λαχανικά, κιμά και σάλτσα γιαουρτιού με ταχίνι",2019-07-02,https://www.protothema.gr/olivemagazine/article/904828/suriakos-mousakas-me-lahanika-kima-kai-saltsa-giaourtiou-me-tahini/?utm_source=rss
98,The history of portable music (infographic),2019-07-02,https://www.protothema.gr/english-news/article/904833/the-history-of-portable-music-infographic/?utm_source=rss
99,Αμβρόσιος για εκλογές: Δώστε τη χαριστική βολή σε Τσίπρα και ΣΥΡΙΖΑ!,2019-07-02,https://www.protothema.gr/greece/article/904832/amvrosios-gia-ekloges-doste-ti-haristiki-voli-se-tsipra-kai-suriza/?utm_source=rss
100,"Σεισμός: 5,8 Ρίχτερ κοντά στις Μαλδίβες",2019-07-02,https://www.protothema.gr/world/article/904831/seismos-58-rihter-koda-stis-maldives/?utm_source=rss
101,Η Δήμητρα Αλεξανδράκη διαψεύδει το χωρισμό: Βαρέθηκα να ακούω πότε θα βάλω νυφικό,2019-07-02,https://www.protothema.gr/life-style/article/904829/i-dimitra-alexandraki-diapseudei-to-horismo-varethika-na-akouo-pote-tha-valo-nufiko/?utm_source=rss
102,"Φωτιά στον Κατσικά Ιωαννίνων, κοντά σε δομή προσφύγων",2019-07-02,https://www.protothema.gr/greece/article/904830/fotia-ston-katsika-ioanninon-koda-se-domi-prosfugon/?utm_source=rss
103,Νέα «βουτιά» 9% για το Bitcoin,2019-07-02,https://www.protothema.gr/economy/article/904827/nea-voutia-9-gia-to-bitcoin/?utm_source=rss
104,"‘Επαθε εγκεφαλικό επεισόδιο στα 31, ανεύρυσμα στα 35 και τώρα είναι πιο fit από ποτέ!",2019-07-02,https://www.protothema.gr/zoi/article/889552/epathe-egefaliko-epeisodio-sta-31-aneurusma-sta-35-kai-tora-einai-pio-fit-apo-pote/?utm_source=rss
105,ΕΣΡ: Οριστικά στην Alter Ego του Μαρινάκη η έκτη τηλεοπτική άδεια,2019-07-02,https://www.protothema.gr/greece/article/904826/esr-oristika-stin-alter-ego-tou-marinaki-i-ekti-tileoptiki-adeia/?utm_source=rss
